,k,xzero,xt,ComponentA,ComponentB,Fatigue
0,3.0163822058,0.9958658026,0.7083646169,0.3768705744,1.8795965112,9.8142682223
1,3.2393428857,0.5588111601,0.4988729778,0.1901683931,2.6233222543,30.9608299688
2,3.2985498809,0.2442647528,0.8232999838,0.5201364616,1.5828538173,33.9594904397
3,3.1692860666,0.7866612168,0.7903051687,0.4747766935,1.664582907,26.4813884944
4,3.1839579212,0.0642830576,0.5192669571,0.2051924547,2.5306337798,27.4655490179
5,3.2084993657,0.1995466371,0.8018129617,0.4901407792,1.6358829867,29.2124694703
6,3.0317953226,0.9943728355,0.6059111187,0.2760630683,2.1948286034,12.3777436404
7,3.0351952217,0.3244095828,0.7240821252,0.3930512336,1.8422079955,6.1718790365
8,3.2369141789,0.7535483298,0.8092282686,0.5002920581,1.6175117223,30.4152252982
9,3.143902524,0.6276133539,0.5362262644,0.2181502451,2.4580594179,23.7385793403
10,3.1678209305,0.5909812494,0.5258332419,0.2101588329,2.5020753809,26.0859909521
11,3.0417217438,0.0350827975,0.7318799737,0.4031171667,1.8155514927,13.278002379
12,3.1505180977,0.1595639583,0.7841433328,0.4667352211,1.6800603366,25.0494260312
13,3.0545704317,0.8457671976,0.7406855839,0.4133072614,1.7920942919,15.6687143753
14,3.0999481164,0.8781198037,0.7645434989,0.4419574545,1.7299029378,17.5391626939
15,3.2882154362,0.097544436,0.4830114791,0.1788951523,2.6999696349,31.8291411579
16,3.1669578867,0.1563236905,0.7895665617,0.4738061267,1.6664338371,26.2527610685
17,3.1182451342,0.5614391989,0.5484524211,0.2277592245,2.4080360407,22.3142502352
18,3.0796069052,0.8769805495,0.7548833408,0.4301664724,1.7548632665,14.7505135587
19,3.2988904109,0.7215858483,0.8233713098,0.5202390819,1.5826786924,32.8212365249
20,3.2195458416,0.324535711,0.5058256186,0.195222804,2.5910170747,27.7818887275
21,3.2566755347,0.7740581189,0.8140115791,0.5069499792,1.6057039402,31.7997772609
22,3.2114866113,0.1132330281,0.8026253862,0.4912431134,1.6338659296,26.8510929849
23,3.009070709,0.7169152888,0.6993901573,0.3674379101,1.9034240564,7.6982031053
24,3.2832766252,0.8668955967,0.8200343573,0.515460569,1.5908769879,33.4109968454
25,3.222464001,0.8299939066,0.8055423985,0.4952208558,1.6266326207,30.1565318195
26,3.088552043,0.7859747566,0.7592971696,0.4355208544,1.7434232185,19.7468936694
27,3.0308135517,0.9338950478,0.6067992662,0.2768633335,2.1916924086,13.341296168
28,3.0720980553,0.0897368138,0.5745679678,0.2490575244,2.306968919,17.7457737724
29,3.2156869496,0.1892576254,0.8037540389,0.4927784944,1.6310655761,29.6748674759
30,3.0332001857,0.8189423393,0.7251742724,0.3954961043,1.8335813286,13.1219968595
31,3.0472714344,0.6280921632,0.5923144006,0.2641511782,2.2423310947,13.4496913311
32,3.2908744044,0.2013926424,0.8216753631,0.517804757,1.5868439833,33.8802210453
