k,xzero,xt,ComponentA,ComponentB,Fatigue
1.2216318304,0.8948395688,0.1814227698,0.8185772302,0.2216318304,0.8463470383
1.2291293543,0.9181182857,0.186415981,0.813584019,0.2291293543,0.919729508
2.3517658725,0.7207958712,0.5747876046,0.4252123954,1.3517658725,0.3852417906
1.584307566,0.6864596745,0.3688094273,0.6311905727,0.584307566,0.3732792272
0.5003126166,0.3140121802,0.0,1.0,0.0,0.3140121802
2.1220504458,0.3738528672,0.5287576683,0.4712423317,1.1220504458,0.158865664
2.1528541331,0.0662475381,0.535500346,0.464499654,1.1528541331,0.4741111052
1.5498806545,0.8872558418,0.3547890303,0.6452109697,0.5498806545,0.9319667188
2.9732942558,0.6155910617,0.6613916241,0.3340001587,1.9802135026,2.5684976304
2.2410497348,0.4815499651,0.5537805411,0.4462194589,1.2410497348,0.0874828479
1.6545347043,0.7444907496,0.3956004686,0.6043995314,0.6545347043,0.5106258944
1.9610004479,0.3281368357,0.4900562103,0.5099437897,0.9610004479,0.1619193746
1.595017316,0.3543080982,0.3730475588,0.6269524412,0.595017316,0.0187394606
2.8153484655,0.9893373653,0.6448041822,0.3551958173,1.8153484662,2.1997854137
1.9106055428,0.4477361245,0.4766057265,0.5233942735,0.9106055428,0.028869602
0.8106201096,0.753561484,1e-10,0.9999999999,1e-10,0.7535614839
1.085442868,0.5370794849,0.0787241894,0.9212751441,0.0854513333,0.4583552955
2.0830445409,0.6823579666,0.519933453,0.480066547,1.0830445409,0.2999729999
2.4570477342,0.4533736538,0.5930075,0.4069925,1.4570477342,0.20006582
2.0961711352,0.0672911388,0.5229397146,0.4770602854,1.0961711352,0.4579667254
1.5303634365,0.0775683606,0.3465604469,0.6534395531,0.5303634365,0.2689920863
2.2811525377,0.1723353641,0.5616251068,0.4383748932,1.2811525377,0.4138250241
1.5465599894,0.5911571277,0.3534036786,0.6465963214,0.5465599894,0.2377534491
2.6619051574,0.5246867101,0.624329215,0.375670785,1.6619051574,0.3466560528
0.1366191622,0.5706940817,0.0,1.0,0.0,0.5706940817
2.9466666573,0.548575407,0.6604020596,0.3391222413,1.9473864562,2.3366375958
2.4122089582,0.5035855385,0.5854422161,0.4145577839,1.4122089582,0.1437513623
